Lebensmittel;Lebensmittelsymbol;Kategorie;Kategoriesymbol;VitaminA_ug_RAE;VitaminB1_mg;VitaminB2_mg;VitaminB6_mg;VitaminB12_ug;VitaminC_mg;VitaminD3_ug;VitaminE_mg;VitaminK_ug;Omega3_g;Omega6_g;Omega9_g;Alanin_g;Arginin_g;Asparaginsaeure_g;Cystein_g;Glutaminsaeure_g;Glycin_g;Histidin_g;Isoleucin_g;Leucin_g;Lysin_g;Methionin_g;Phenylalanin_g;Prolin_g;Serin_g;Threonin_g;Tryptophan_g;Tyrosin_g;Valin_g
Salami;Salami.svg;Fleisch;Fleisch.svg;0;0,4;0,15;0,3;1,5;0;0,5;0,5;2;0,05;1,8;9,0;1,0;1,05;1,6;0,2;2,7;0,8;0,55;0,85;1,4;0,6;0,45;0,65;0,75;0,65;0,65;0,18;0,6;0,85
Schinken, gekocht;Schinken_gekocht.svg;Fleisch;Fleisch.svg;0;0,7;0,2;0,4;0,7;0;0,5;0,3;0;0,03;1,2;4,0;1,15;1,2;1,85;0,22;3,1;0,95;0,85;1,0;1,6;0,55;0,5;0,8;0,8;0,75;0,85;0,22;0,7;1,0
Tofu;Tofu.svg;Pflanzlich;Pflanzlich.svg;0;0,08;0,05;0,06;0;0;0;0,5;2,4;0,6;5,0;1,6;0,4;0,8;1,15;0,14;1,7;0,4;0,25;0,4;0,62;0,51;0,11;0,42;0,42;0,42;0,32;0,11;0,31;0,42
Linsen, gekocht;Linsen_gekocht.svg;Hülsenfrüchte;Huelsenfruechte.svg;1;0,15;0,06;0,09;0;1,5;0;0,1;1,7;0,03;0,2;0,06;0,4;0,7;1,05;0,09;1,4;0,35;0,25;0,4;0,65;0,63;0,07;0,4;0,35;0,4;0,32;0,08;0,24;0,42
Kichererbsen, gekocht;Kichererbsen_gekocht.svg;Hülsenfrüchte;Huelsenfruechte.svg;1;0,1;0,05;0,14;0;1,3;0;0,4;4;0,05;1,9;1,9;0,35;0,65;0,9;0,1;1,2;0,3;0,22;0,32;0,55;0,5;0,08;0,35;0,3;0,35;0,28;0,07;0,2;0,38
Kidneybohnen, gekocht;Kidneybohnen_gekocht.svg;Hülsenfrüchte;Huelsenfruechte.svg;0;0,16;0,06;0,11;0;1;0;0,03;3;0,06;0,2;0,02;0,4;0,5;1,0;0,1;1,4;0,35;0,24;0,4;0,65;0,6;0,09;0,4;0,32;0,4;0,3;0,08;0,22;0,4
Erbsen, gekocht;Erbsen_gekocht.svg;Gemüse;Gemuese.svg;35;0,15;0,07;0,07;0;15;0;0,1;20;0,03;0,15;0,02;0,25;0,4;0,6;0,06;0,9;0,2;0,14;0,24;0,36;0,35;0,05;0,24;0,2;0,24;0,19;0,05;0,14;0,26
Sojabohnen, gekocht;Sojabohnen_gekocht.svg;Hülsenfrüchte;Huelsenfruechte.svg;0;0,15;0,1;0,07;0;1,7;0;0,4;20;0,6;5,0;2,0;0,7;1,1;1,8;0,2;2,8;0,65;0,4;0,7;1,1;0,9;0,19;0,68;0,7;0,7;0,55;0,19;0,5;0,68
Erdnüsse;Erdnuesse.svg;Nüsse;Nuesse.svg;0;0,6;0,13;0,35;0;0;0;8,3;0;0,003;15,5;20;1,1;3,1;3,2;0,32;5,4;1,6;1,0;0,9;1,6;1,6;0,3;1,3;1,1;1,3;0,9;0,25;1,1;1,1
Mandeln;Mandeln.svg;Nüsse;Nuesse.svg;0;0,2;0,8;0,14;0;0;0;25;0;0,003;12;32;0,9;2,5;2,5;0,17;4,9;1,3;0,6;0,9;1,5;0,5;0,19;1,2;1,0;1,0;0,7;0,2;0,6;1,0
Walnüsse;Walnuesse.svg;Nüsse;Nuesse.svg;1;0,34;0,15;0,54;0;1,3;0;0,7;2,7;9,1;38;8,9;0,7;2,3;1,9;0,32;3,3;0,9;0,4;0,7;1,2;0,42;0,24;0,75;0,7;0,75;0,6;0,15;0,5;0,85
Haselnüsse;Haselnuesse.svg;Nüsse;Nuesse.svg;1;0,64;0,11;0,56;0;6,3;0;15;0;0,09;7,8;45;0,7;2,2;1,7;0,15;3,1;0,9;0,4;0,6;1,0;0,35;0,2;0,62;0,6;0,6;0,5;0,14;0,42;0,72
Cashewkerne;Cashewkerne.svg;Nüsse;Nuesse.svg;0;0,4;0,06;0,4;0;0,5;0;0,9;34;0,06;7,8;10;0,8;2,1;1,9;0,31;3,9;0,9;0,5;0,75;1,4;0,42;0,31;1,0;0,85;0,9;0,65;0,29;0,6;1,15
Sonnenblumenkerne;Sonnenblumenkerne.svg;Samen;Samen.svg;0;1,5;0,25;1,3;0;1,4;0;35;0;0,07;23;7,2;1,2;2,4;2,7;0,35;4,9;1,3;0,9;1,2;1,6;0,7;0,9;1,2;1,1;1,1;0,9;0,34;0,65;1,4
Kürbiskerne;Kuerbiskerne.svg;Samen;Samen.svg;1;0,27;0,15;0,14;0;1,9;0;0,6;7;0,09;20;6,9;1,5;4,0;2,9;0,4;5,9;1,5;0,85;1,4;1,9;1,0;0,55;1,7;1,3;1,3;1,0;0,4;1,0;1,6
Leinsamen;Leinsamen.svg;Samen;Samen.svg;0;0,5;0,16;0,47;0;0,6;0;0,3;0;22;5,9;7,5;0,9;1,9;2,0;0,29;3,7;1,0;0,4;0,8;1,2;0,7;0,35;0,9;0,85;0,9;0,7;0,28;0,6;1,0
Chiasamen;Chiasamen.svg;Samen;Samen.svg;1;0,6;0,17;0;0;1,6;0;0,5;0;17,8;5,8;2,0;0,9;1,6;2,0;0,3;3,5;1,0;0,6;0,9;1,3;0,65;0,4;1,05;0,9;0,85;0,7;0,3;0,5;1,1
Olivenöl;Olivenoel.svg;Öle;Oele.svg;0;0;0;0;0;0;0;14;60;0,7;9,7;73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rapsöl;Rapsoel.svg;Öle;Oele.svg;0;0;0;0;0;0;0;17;71;9,1;20;63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sonnenblumenöl;Sonnenblumenoel.svg;Öle;Oele.svg;0;0;0;0;0;0;0;49;5;0,2;63;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Leinöl;Leinoel.svg;Öle;Oele.svg;0;0;0;0;0;0;0;1;0;53;14;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Apfel;Apfel.svg;Obst;Obst.svg;3;0,02;0,02;0,04;0;4,6;0;0,2;2,2;0,01;0,04;0,01;0,02;0,02;0,13;0,002;0,03;0,02;0,006;0,02;0,02;0,02;0,001;0,007;0,01;0,01;0,01;0,001;0,003;0,01
Banane;Banane.svg;Obst;Obst.svg;3;0,05;0,05;0,4;0;9;0;0,1;0,5;0,02;0,05;0,03;0,04;0,05;0,1;0,008;0,09;0,04;0,02;0,03;0,06;0,04;0,007;0,04;0,04;0,04;0,03;0,01;0,02;0,05
Orange;Orange.svg;Obst;Obst.svg;11;0,09;0,04;0,06;0;53;0;0,2;0;0,006;0,02;0,02;0,04;0,06;0,1;0,006;0,1;0,03;0,02;0,03;0,04;0,04;0,006;0,02;0,03;0,04;0,03;0,006;0,01;0,03
Erdbeeren;Erdbeeren.svg;Obst;Obst.svg;1;0,02;0,02;0,05;0;59;0;0,3;2,2;0,06;0,09;0,02;0,03;0,02;0,1;0,003;0,1;0,03;0,01;0,02;0,03;0,03;0,005;0,02;0,02;0,02;0,02;0,006;0,01;0,02
Heidelbeeren;Heidelbeeren.svg;Obst;Obst.svg;3;0,04;0,04;0,05;0;10;0;0,6;19,3;0,06;0,09;0,01;0,02;0,02;0,05;0,002;0,05;0,02;0,006;0,02;0,02;0,02;0,002;0,01;0,02;0,02;0,02;0,001;0,01;0,02
Trauben;Trauben.svg;Obst;Obst.svg;3;0,07;0,07;0,09;0;4;0;0,2;14,6;0,01;0,08;0,007;0,03;0,04;0,05;0,003;0,1;0,02;0,01;0,03;0,03;0,03;0,003;0,02;0,03;0,02;0,02;0,001;0,01;0,03
Birne;Birne.svg;Obst;Obst.svg;1;0,01;0,03;0,03;0;4;0;0,1;4,5;0,01;0,06;0,01;0,02;0,02;0,06;0,002;0,05;0,02;0,005;0,02;0,02;0,02;0,001;0,01;0,02;0,02;0,01;0,001;0,01;0,02
Kiwi;Kiwi.svg;Obst;Obst.svg;4;0,02;0,06;0,06;0;93;0;1,5;40,3;0,03;0,09;0,02;0,05;0,05;0,13;0,008;0,13;0,05;0,02;0,03;0,06;0,05;0,008;0,03;0,04;0,04;0,03;0,01;0,02;0,05
Ananas;Ananas.svg;Obst;Obst.svg;2;0,08;0,03;0,11;0;48;0;0,02;0,7;0,02;0,03;0,005;0,02;0,03;0,1;0,003;0,06;0,03;0,008;0,02;0,03;0,02;0,005;0,02;0,02;0,02;0,02;0,004;0,01;0,03
Zitrone;Zitrone.svg;Obst;Obst.svg;1;0,04;0,02;0,08;0;53;0;0,2;0;0,01;0,04;0,01;0,02;0,03;0,08;0,004;0,06;0,02;0,008;0,02;0,03;0,03;0,004;0,02;0,03;0,02;0,02;0,003;0,02;0,03
Tomate;Tomate.svg;Gemüse;Gemuese.svg;42;0,04;0,02;0,08;0;14;0;0,5;7,9;0,002;0,06;0,02;0,03;0,03;0,13;0,005;0,35;0,02;0,02;0,02;0,03;0,03;0,006;0,02;0,02;0,02;0,02;0,005;0,02;0,02
Gurke;Gurke.svg;Gemüse;Gemuese.svg;4;0,03;0,02;0,04;0;3;0;0,03;16,4;0,005;0,02;0,005;0,02;0,02;0,06;0,002;0,04;0,02;0,006;0,01;0,02;0,02;0,003;0,01;0,01;0,01;0,01;0,002;0,01;0,02
Karotte;Karotte.svg;Gemüse;Gemuese.svg;835;0,07;0,06;0,14;0;6;0;0,7;13,2;0,005;0,09;0,005;0,05;0,04;0,15;0,007;0,16;0,05;0,02;0,03;0,04;0,04;0,007;0,03;0,05;0,04;0,03;0,005;0,02;0,05
Paprika, rot;Paprika_rot.svg;Gemüse;Gemuese.svg;157;0,05;0,09;0,29;0;128;0;1,6;4,9;0,02;0,09;0,01;0,05;0,06;0,15;0,008;0,15;0,05;0,02;0,05;0,06;0,06;0,01;0,04;0,05;0,05;0,04;0,01;0,02;0,06
Brokkoli;Brokkoli.svg;Gemüse;Gemuese.svg;31;0,07;0,12;0,18;0;89;0;0,8;102;0,02;0,02;0,003;0,15;0,17;0,28;0,03;0,4;0,13;0,08;0,12;0,16;0,16;0,04;0,11;0,13;0,11;0,12;0,03;0,08;0,16
Blumenkohl;Blumenkohl.svg;Gemüse;Gemuese.svg;0;0,05;0,06;0,18;0;48;0;0,1;15,5;0,02;0,03;0,003;0,1;0,13;0,23;0,02;0,3;0,1;0,06;0,1;0,13;0,13;0,02;0,09;0,1;0,09;0,09;0,02;0,06;0,13
Spinat;Spinat.svg;Gemüse;Gemuese.svg;469;0,08;0,19;0,2;0;28;0;2,0;483;0,14;0,03;0,003;0,16;0,16;0,32;0,03;0,36;0,16;0,06;0,15;0,2;0,17;0,05;0,13;0,13;0,13;0,12;0,03;0,1;0,17
Grünkohl;Gruenkohl.svg;Gemüse;Gemuese.svg;681;0,1;0,13;0,27;0;105;0;1,5;705;0,2;0,1;0,02;0,2;0,2;0,35;0,03;0,4;0,18;0,08;0,15;0,24;0,2;0,06;0,15;0,15;0,15;0,13;0,04;0,1;0,2
Zwiebel;Zwiebel.svg;Gemüse;Gemuese.svg;0;0,05;0,03;0,12;0;7;0;0,02;0,4;0,001;0,02;0,006;0,03;0,05;0,14;0,008;0,09;0,03;0,02;0,03;0,03;0,04;0,007;0,02;0,03;0,02;0,02;0,007;0,01;0,03
Knoblauch;Knoblauch.svg;Gemüse;Gemuese.svg;0;0,2;0,11;1,24;0;31;0;0,01;1,7;0,02;0,02;0,002;0,1;0,6;0,5;0,07;0,8;0,1;0,11;0,2;0,3;0,27;0,08;0,18;0,1;0,1;0,16;0,02;0,08;0,29
Champignons;Champignons.svg;Gemüse;Gemuese.svg;0;0,08;0,4;0,1;0,04;2;0,2;0,01;0;0,005;0,15;0,02;0,13;0,09;0,2;0,02;0,3;0,06;0,06;0,1;0,15;0,05;0,02;0,09;0,1;0,1;0,09;0,03;0,06;0,14
Zucchini;Zucchini.svg;Gemüse;Gemuese.svg;10;0,05;0,09;0,16;0;18;0;0,1;4,3;0,01;0,02;0,003;0,05;0,06;0,14;0,007;0,15;0,05;0,02;0,04;0,06;0,06;0,01;0,04;0,05;0,05;0,04;0,008;0,03;0,05
Aubergine;Aubergine.svg;Gemüse;Gemuese.svg;1;0,04;0,04;0,08;0;2;0;0,3;3,5;0,01;0,04;0,003;0,05;0,07;0,15;0,01;0,19;0,05;0,02;0,04;0,06;0,06;0,01;0,04;0,05;0,05;0,04;0,01;0,02;0,06
Rote Bete;Rote_Bete.svg;Gemüse;Gemuese.svg;2;0,03;0,04;0,07;0;4,9;0;0,04;0,2;0,005;0,05;0,005;0,07;0,06;0,2;0,01;0,24;0,13;0,02;0,06;0,07;0,06;0,01;0,05;0,07;0,07;0,05;0,01;0,03;0,08
Sellerie;Sellerie.svg;Gemüse;Gemuese.svg;22;0,02;0,06;0,07;0;3;0;0,3;29,3;0,002;0,08;0,005;0,04;0,05;0,1;0,005;0,12;0,04;0,02;0,03;0,04;0,04;0,006;0,02;0,03;0,03;0,03;0,006;0,02;0,04
Lauch (Porree);Lauch_Porree.svg;Gemüse;Gemuese.svg;83;0,06;0,03;0,23;0;12;0;0,9;47;0,01;0,07;0,005;0,06;0,1;0,2;0,02;0,2;0,06;0,03;0,05;0,09;0,06;0,02;0,05;0,06;0,06;0,05;0,02;0,03;0,06
Rosenkohl;Rosenkohl.svg;Gemüse;Gemuese.svg;38;0,14;0,09;0,22;0;85;0;0,9;177;0,17;0,03;0,004;0,16;0,2;0,4;0,03;0,5;0,15;0,09;0,16;0,22;0,2;0,05;0,14;0,15;0,15;0,15;0,04;0,1;0,2
Spargel;Spargel.svg;Gemüse;Gemuese.svg;38;0,14;0,14;0,09;0;5,6;0;1,1;41,6;0,06;0,08;0,008;0,14;0,14;0,42;0,02;0,4;0,15;0,05;0,1;0,16;0,13;0,02;0,1;0,09;0,1;0,09;0,02;0,06;0,14
Süßkartoffel;Suesskartoffel.svg;Gemüse;Gemuese.svg;709;0,08;0,06;0,21;0;2,4;0;0,3;1,8;0,002;0,02;0,001;0,06;0,05;0,2;0,02;0,15;0,05;0,03;0,05;0,07;0,06;0,02;0,06;0,06;0,06;0,06;0,02;0,04;0,07
Avocado;Avocado.svg;Obst;Obst.svg;7;0,07;0,13;0,26;0;10;0;2,1;21;0,11;1,7;10;0,09;0,12;0,2;0,02;0,3;0,09;0,04;0,08;0,12;0,13;0,03;0,08;0,1;0,08;0,06;0,02;0,05;0,1
Mais (Dosenmais);Mais_Dosenmais.svg;Gemüse;Gemuese.svg;8;0,15;0,1;0,16;0;5;0;0,1;0,2;0,02;0,6;0,9;0,6;0,3;0,5;0,05;1,4;0,3;0,2;0,28;0,9;0,15;0,15;0,34;0,65;0,4;0,28;0,05;0,28;0,35
Honig;Honig.svg;Süßungsmittel;Suessungsmittel.svg;0;0;0,04;0;0;0,5;0;0;0;0;0;0;0,01;0,005;0,01;0,001;0,02;0,01;0,001;0,002;0,003;0,005;0,001;0,002;0,003;0,003;0,003;0,001;0,002;0,003
Zucker, weiß;Zucker_weiss.svg;Süßungsmittel;Suessungsmittel.svg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Marmelade;Marmelade.svg;Süßungsmittel;Suessungsmittel.svg;1;0;0,01;0,01;0;5;0;0;0;0,001;0,005;0,001;0,005;0,005;0,01;0,001;0,02;0,005;0,001;0,002;0,003;0,003;0,001;0,002;0,003;0,003;0,003;0,001;0,002;0,003
Schokolade, Vollmilch;Schokolade_Vollmilch.svg;Süßwaren;Suesswaren.svg;50;0,07;0,24;0,03;0,4;0;0;0,6;4;0,05;0,6;7,5;0,4;0,4;0,8;0,1;1,6;0,25;0,2;0,4;0,6;0,4;0,14;0,4;0,4;0,4;0,35;0,1;0,4;0,5
Dunkle Schokolade, 70%;Dunkle_Schokolade_70.svg;Süßwaren;Suesswaren.svg;7;0,06;0,1;0,03;0,2;0;0;0,6;7,3;0,03;0,4;10,5;0,3;0,3;0,5;0,06;1,0;0,16;0,13;0,24;0,4;0,27;0,09;0,26;0,26;0,26;0,22;0,06;0,26;0,34
Kaffee, schwarz;Kaffee_schwarz.svg;Getränke;Getraenke.svg;0;0;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Schwarztee;Schwarztee.svg;Getränke;Getraenke.svg;0;0;0,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Apfelsaft;Apfelsaft.svg;Getränke;Getraenke.svg;0;0,01;0,01;0,02;0;1;0;0,01;0;0,002;0,02;0,005;0,01;0,01;0,05;0,001;0,02;0,01;0,003;0,008;0,01;0,01;0,001;0,005;0,008;0,008;0,006;0,001;0,003;0,008
Orangensaft;Orangensaft.svg;Getränke;Getraenke.svg;5;0,06;0,02;0,04;0;37;0;0,1;0;0,004;0,01;0,008;0,02;0,03;0,05;0,002;0,05;0,02;0,008;0,01;0,02;0,02;0,003;0,008;0,014;0,02;0,014;0,002;0,006;0,014
Bier;Bier.svg;Getränke;Getraenke.svg;0;0,01;0,03;0,05;0;0;0;0;0;0;0,02;0;0,02;0,03;0,05;0,005;0,1;0,03;0,02;0,03;0,05;0,02;0,01;0,03;0,03;0,03;0,03;0,007;0,02;0,04
Rotwein;Rotwein.svg;Getränke;Getraenke.svg;0;0,01;0,02;0,03;0;0;0;0;0;0;0,01;0;0,005;0,006;0,01;0,001;0,02;0,006;0,003;0,006;0,01;0,005;0,002;0,006;0,006;0,006;0,005;0,001;0,004;0,007
Dinkelmehl;Dinkelmehl.svg;Getreide;Getreide.svg;0;0,4;0,15;0,2;0;0;0;0,9;2;0,1;1,2;0,3;0,4;0,5;0,8;0,2;3,5;0,5;0,25;0,4;0,7;0,25;0,17;0,5;1,0;0,5;0,3;0,13;0,3;0,45
Weizenmehl (Type 405);Weizenmehl_Type405.svg;Getreide;Getreide.svg;0;0,12;0,06;0,06;0;0;0;0,3;0;0,02;0,5;0,15;0,3;0,4;0,4;0,15;3,2;0,3;0,2;0,35;0,6;0,2;0,13;0,45;0,9;0,4;0,26;0,1;0,28;0,4
Roggenbrot;Roggenbrot.svg;Getreide;Getreide.svg;0;0,15;0,08;0,15;0;0;0;0,5;4;0,1;0,6;0,15;0,25;0,35;0,5;0,13;2,0;0,35;0,18;0,3;0,5;0,25;0,13;0,35;0,7;0,35;0,25;0,09;0,22;0,35
Pumpernickel;Pumpernickel.svg;Getreide;Getreide.svg;0;0,15;0,1;0,14;0;0;0;0,4;5;0,1;0,6;0,2;0,25;0,35;0,5;0,13;2,1;0,35;0,18;0,3;0,5;0,25;0,13;0,35;0,7;0,35;0,25;0,09;0,22;0,35
